name,refcount
libghc-generic-deriving-dev-1.14.2-b435f,8
liblv2dynparamplugin1-0,2
tesseract-ocr-san,4
libxcb-shape0-dev,9
golang-github-bits-and-blooms-bitset-dev,11
libnetfilter-cttimeout-dev,1
lutefisk-doc,1
libgtop2-doc,1
kreversi,3
mozilla-devscripts,1
libscriptalicious-perl,1
libhugs-xhtml-bundled,1
libportal-tests-gtk3,1
libcairo-gobject-perl,28
libmythes-1.2-0,77
r-cran-irace,1
ruby-seamless-database-pool,1
libghc-utility-ht-dev-0.0.16-4a503,6
golang-github-anacrolix-missinggo-bin-static,1
librust-const-format-0.2+default-dev,1
libghc-blaze-html-prof,1
pcp-import-sheet2pcp,1
golang-easyjson,1
ruby-origami,2
needrestart-session,1
bird-bgp,1
soapysdr0.8-module-all,2
ganglia-monitor,2
python-mistral-lib-doc,1
gm2-12-x86-64-linux-gnux32,2
libreiser4-dev,1
liblqr-1-0-dev,20
ruby-googleauth,13
ofono-dev,1
libhtml-calendarmonthsimple-perl,1
libplexus-languages-java,59
libghc-unix-time-prof-0.4.8-a0cc9,2
kamailio-nats-modules,1
kbruch,3
libvterm0,9
python3-flask-silk,2
libn32objc-11-dev-mipsr6-cross,3
php-symfony-doctrine-messenger,7
python3-software-properties,13
mate-indicator-applet-common,2
gcc-12-multilib-s390x-linux-gnu,14
librte-crypto-scheduler23,6
golang-github-avast-retry-go-dev,1
librust-sequoia-ipc-0.28+default-dev,1
liballegro-audio5.2,6
ruby-data-uri,1
libtext-german-perl,12
libghc-language-c99-doc,1
fcitx-table-tamil-remington,1
golang-github-masterminds-goutils-dev,7
libghc-iconv-prof,1
libghc-hsp-doc,1
librust-scratch-1+default-dev,1
lua-hamlib2,1
bastet,1
matchbox-themes-extra,1
libctpl-doc,1
libghc-tasty-checklist-prof,1
openstack-clients,2
python3-prefixdate,1
libjs-jquery-ui-theme-humanity,1
libqdbm-dev,3
librust-encoding-index-singlebyte-1.20141219+default-dev,1
rbdoom3bfg,1
jenkins-debian-glue-buildenv,1
libc6-ppc64-cross,72
libboost-mpi-python1.74.0,26
junior-games-sim,1
libvterm-bin,1
gnat-12-mips64-linux-gnuabi64,1
libx32gphobos3-amd64-cross,2
libghc-hslua-doc,1
usbip,1
python3-dynamic-reconfigure,8
libunicode-utf8-perl,17
ocaml-compiler-libs,16
gobjc-12-riscv64-linux-gnu,4
golang-github-facebookgo-freeport-dev,4
xsnow,1
libkf5peoplewidgets5,33
python3-langdetect,5
xsol,1
librust-scoped-threadpool-0.1+default-dev,3
keyman,1
ruby-rubypants,4
libghc-hslua-objectorientation-prof-2.1.0-d65eb,2
librust-slog-term-dev,1
gstreamer1.0-x,41
nmapsi4,1
puppet-module-puppetlabs-tftp,4
libghc-syb-with-class-dev-0.6.1.14-3027a,2
libmrpt-vision-dev,9
fonts-smc-raghumalayalamsans,4
fonts-sil-charis,4
python3-lesscpy,1
librust-zstd-sys-2+std-dev,1
librdf-trinex-serializer-mockturtlesoup-perl,3
libboost1.81-dev,34
libsbml5-dev,2
aranym,1
wsynth-dssi,1
libn32go21-mips64el-cross,4
pmacct,1
libghc-text-binary-prof-0.2.1.1-3e985,1
libghc-http-client-prof-0.7.13.1-d041e,22
fort77,1
libnewtonsoft-json5.0-cil,5
linux-source-6.1,2
shotcut-data,2
sendmail-doc,1
librust-stackvector-dev,1
python3-websocket,61
node-doctrine,3
librte-common-cnxk23,20
wise-doc,1
python3-usb1,5
libghc-test-framework-quickcheck2-prof,1
libghc-http-link-header-dev-1.2.1-8419d,2
devede,1
librte-cryptodev23,72
libghc-dependent-sum-dev-0.7.1.0-2fd03,8
libibnetdisc5,4
mtpaint,1
libboost-exception1.81-dev,2
cmospwd,1
python3-flake8-builtins,1
node-require-all,1
libghc-mbox-prof,1
nmzmail,1
libbtrfsutil1,3
android-libnativehelper,2
libghc-case-insensitive-dev,2
gkrellm-mailwatch,1
python-betamax-doc,1
libqt6bodymovin6,3
gm2-12-powerpc64le-linux-gnu,2
libkdsoap-dev,1
kodi-eventclients-ps3,1
golang-github-juju-httpprof-dev,6
brewtarget,1
librust-semver-dev,2
python3-scikit-rf,1
ecflow-server,1
libmstch-dev,1
autoconf,133
libukui-fontclient0,2
libghc-geniplate-mirror-dev,2
libt3key1,6
chuck,1
key2odp,1
node-tar,12
r-cran-maotai,1
golang-pault-go-debian-dev,3
libpangomm-2.48-1,5
elpa-vertico,1
libtumbler-1-0,4
ruby-rack-piwik,1
librust-sysinfo-dev,1
screenkey,1
libghc-annotated-wl-pprint-dev,2
courier-imap-ssl,1
libghc-happstack-server-dev,2
libkf5notifyconfig5,84
llvm-16-tools,4
libusbmuxd-dev,3
fusefat,1
libraw1394-11,753
tesseract-ocr-jpn,4
theme-d-translator,2
r-cran-d3network,1
multipath-tools-boot,1
nextpnr-ice40-qt,1
libghc-vector-prof-0.12.3.1-f377c,111
font-viewer,5
solfege,2
xdot,6
libghc-doctest-dev,2
libreoffice-lightproof-hu,1
libcurl-ocaml-dev,1
qt3d5-dev,1
libghc-yi-mode-javascript-doc,1
libcoq-libhyps,1
kpart5-kompare,3
ruby-faraday,62
libvisp-klt3.5,5
libaunit-doc,1
libqqc2breezestyle-dev,1
libghc-logging-facade-dev-0.3.1-d3bb5,2
rdp-classifier-doc,1
r-cran-shazam,1
kphotoalbum,1
librust-indenter-dev,1
libutf8-locale0,3
libpgtypes3,8
libghc-th-utilities-dev-0.2.5.0-2f0fc,2
xserver-xorg-video-amdgpu,38
libstatistics-basic-perl,9
libghc-with-location-dev,2
ntldd,1
librust-pin-project-internal-dev,1
libiv2,4
librust-difference-dev,3
libhyphen-dev,1
kicad-doc-pl,1
golang-ginkgo-dev,37
libnews-article-perl,2
lswm,1
libgeotranz3.7,3
xemacs21-support,7
librust-linux-raw-sys-0.0.46+rustc-dep-of-std-dev,1
kdeadmin,2
golang-uuid-dev,1
tlslookup,1
libcoq-equations,1
syrep,1
libghc-boring-prof,1
node-prosemirror-schema-basic,2
libsvm-dev,3
librust-wasm-bindgen-macro-0.2.83+strict-macro-dev,1
libmctc-lib0,5
irtt,1
gomoku.app,2
libsynctex2,227
libghc-miniutter-dev-0.5.1.2-acf94,2
libghc-http-date-dev,2
libnet-telnet-cisco-perl,1
ink-generator,1
education-roaming-workstation,1
vmatch,1
ukui-control-center,1
libgfortran-11-dev-mips64r6el-cross,3
libabiword-dev,1
install-mimic,1
science-meteorology,1
courier-webadmin,1
librust-grep-matcher-dev,1
libopm-upscaling-bin,1
python3-hupper,7
secnet,1
nbtscan,3
python3-pyopencolorio,1
libgmap-ocaml-dev,1
libgphobos-12-dev-hppa-cross,3
python3-jinja-vanish,1
poppler-data,263
libmrpt-tfest-dev,15
tryton-modules-product-price-list,9
golang-websocket-dev,9
debian-edu-config,2
uuid-dev,855
kbreakout,3
krb5-pkinit,1
libghc-profunctors-prof,1
guider,1
swift-container,1
libsylph1,5
libsocksd0,2
libn32gphobos2-mips64-cross,3
readstat,3
libmolequeue-dev,1
libmediastreamer12,11
gobjc-mipsisa32r6el-linux-gnu,2
ghostess,1
douceur,1
systemd-standalone-tmpfiles,1
likwid,1
libdcmtk17,56
ipset,37
librust-quickcheck+default-dev,1
zabbix-java-gateway,1
golang-github-mmcdole-gofeed-dev,1
libapertium3,67
passwordsafe-common,2
mlv-smile,1
libmaven-source-plugin-java,1
libopenshot-audio-dev,1
libnet-cpp2,2
debian-edu-doc-legacy-nl,1
ruby-termios,2
gkrellweather,1
erlang-jose,25
libansi-terminal-ocaml,1
python3-cups,11
xmpi,1
libzip-dev,4
python3.11-full,2
node-randombytes,33
libghc-numinstances-prof-1.4-d420a,1
gspell-1-tests,1
libdata-show-perl,1
cafeobj-mode,1
python3-tpm2-pytss,3
libnpth0,1050
tclx8.4,4
cubicsdr,1
lua-augeas,2
lua-lpeg-dev,1
cl-reversi,1
libslepc64-complex-dev,1
libghc-xmonad-contrib-doc,1
libspring-context-java,21
libghc-hsyaml-prof,1
libhiredis-dev,5
libangstrom-ocaml-dev,1
rrootage-data,2
node-match-at,1
librust-cast-0.3+default-dev,3
toilet,1
libgmt-dev,1
liblinux-acl-perl,1
libghc-twitter-types-prof-0.11.0-d819d,2
filespooler,1
websocketd,1
transmission-remote-gtk,1
erlang-x11,1
libvdk2-2c2,4
webissues,1
gramps,1
libmrpt-config-dev,23
x2vnc,1
php-google-protobuf,1
premake4,1
upass,1
php-symfony-polyfill-php81,2
libghc-tuple-dev-0.3.0.2-22ee9,2
ruby-wisper,3
librust-humansize-1+default-dev,1
libghc-reform-dev-0.2.7.5-45987,4
libosmotrau2,4
libandroid-json-java,8
rssguard,1
libxcb-keysyms1-dev,2
r-cran-magic,4
librust-cpp-build-dev,1
dsdp,1
libeclipse-e4-ui-bindings-java,36
python3-slepc4py-real,15
libmarc-fast-perl,1
wmmixer,1
libsnapd-qt-dev,1
libdlmcontrol-dev,1
qml-module-lomiri-metrics,1
asciidoc-fop,1
libghc-unbounded-delays-prof-0.1.1.1-aad7d,3
libpgsbox7,4
firmware-microbit-micropython-doc,1
ceph-immutable-object-cache-dbg,1
gambas3-devel,4
libghc-securemem-doc,1
libghc-enclosed-exceptions-prof-1.0.3-9f29f,3
autoconf-archive,3
jtb,9
libghc-zip-archive-dev-0.4.2.2-49924,6
libstonith1,20
libzmf-dev,1
libtext-mecab-perl,1
gnome-calls-doc,1
libstrophe-dev,1
elpa-message-templ,1
python3-mlt,2
python3-unyt,2
gnomad2,1
libghc-tasty-checklist-dev,2
golang-github-ogier-pflag-dev,5
librust-tiny-skia-dev,1
libkf5mailimporter5,19
intel-hdcp,1
libequinox-launcher-java,1
myspell-hr,1
librust-trust-dns-server+openssl-dev,3
python3-coverage,172
cpp-11-mipsisa32r6el-linux-gnu,18
puppet-module-etcddiscovery,3
cl-split-sequence,13
metastore,1
libmaven-file-management-java-doc,1
xrootd-client,1
libidm-console-framework-java,1
libghc-protobuf-prof,1
libghc-reactive-banana-prof,1
libscope-upper-perl,89
gss-doc,1
gnome-colors,1
libjson-xs-perl,55
libsunpinyin3v5,7
libghc-base16-bytestring-dev-1.0.2.0-ab752,28
puppet-module-puppetlabs-haproxy,4
libghc-js-flot-prof,1
libmaliit-glib2,4
librust-crossterm+serde-dev,1
libxplc0.3.13-dev,2
predictnls,1
libdata-clone-perl,4
python3-pbcommand,4
liboggplay1-dev,1
libdaemon-dev,1
csh,1
libstdc++-11-pic-i386-cross,1
libdevel-leak-perl,1
libweb-machine-perl,5
node-create-react-class,2
libboost-regex1.74.0,151
libgo19-mipsel-cross,4
ruby-diaspora-federation-json-schema,1
python3-regions,2
libtruffle-java-doc,1
golang-github-victoriametrics-victoriametrics-dev,1
python3-dlt,1
libtime-parsedate-perl,18
libmath-fibonacci-perl,1
gstreamer1.0-pocketsphinx,1
libghc-constraints-extras-doc,1
golang-github-yl2chen-cidranger-dev,1
libirstlm1,36
node-dtrace-provider,2
rtklib-qt,1
libgff-dev,1
rosidl-core,1
librust-syntect-5+regex-onig-dev,1
libreflections-java,4
libcppdb0,7
libunix-errno-ocaml,2
libghc-echo-prof,1
libgo-12-dev-ppc64-cross,5
libgo-11-dev-mipsr6el-cross,3
golang-github-emersion-go-msgauth-dev,1
ruby-aws-sdk,1
python3-colcon-test-result,3
libghc-shell-conduit-dev,2
ruby-rails-assets-jquery-fullscreen,1
python3-pyninjotiff,1
libasm-java,204
libkf5mailtransport5,43
ruby3.1-doc,3
libpll0,2
libkmlconvenience1,15
rmtfs,1
plasma-desktop,9
libclalsadrv-dev,1
libjs-term.js,27
ruby-diff-match-patch,1
freerdp2-wayland,1
xfonts-intl-chinese,1
libpetsc64-complex3.18-dev,5
libspring-instrument-java,1
librust-mio-uds-dev,1
libservice-wrapper-java,2
libghc-hslua-module-version-dev,2
liblambdaisland-uri-clojure,1
vagrant-sshfs,1
libghc-authenticate-oauth-dev,2
r-cran-randomfields,1
ts-node,1
qemu-system-mips,5
binutils-powerpc64-linux-gnu,32
netsurf-common,3
python3-deeptoolsintervals,3
librust-log-0.4+release-max-level-error-dev,1
r-cran-lobstr,1
libkf5newstuffcore5,220
biosig-tools,1
libconfigreader-perl,1
libstdc++-11-dev-amd64-cross,4
libcoverart1,3
eiskaltdcpp-qt,2
ipig,1
sasm,1
kdump-tools,1
xfonts-intl-phonetic,1
monopd,1
gir1.2-camel-1.2,33
filter,1
libmysql-ocaml,1
euslisp-dev,2
chezscheme,3
libgphobos-dev,4
texlive-lang-greek,11
libtrilead-putty-extension-java,1
libstring-scanf-perl,1
pcm,1
libfannj-java,2
libpetsc3.18-dev-common,49
libcv-bridge-dev,12
librust-float-cmp-0.9+default-dev,1
python3-treetime,2
r-cran-km.ci,3
